FID,Substation,Area_No,AreaServed,NOTE1_1,NOTE2_1,Longitude,Latitude
1,Trabuco,103,"Laguna Hills, Mission Viejo",17.4372,116.248,-117.6724707,33.56305554
2,Capistrano,96,San Juan Capristrano,7.9314,52.876,-117.6653205,33.51247338
3,San Mateo,102,San Clemente,6.3621,42.414,-117.5899303,33.4093205
4,Cristianitos,95,Ortega,1.575,10.5,-117.5696783,33.46338704
5,Japanese Mesa,97,Camp Pendleton,2.4,16,-117.5540513,33.37423763
6,Las Pulgas,99,Camp Pendleton,1.35045,9.003,-117.4664326,33.31273706
7,Stuart,71,Camp Pendleton,1.40925,9.395,-117.4157835,33.25671774
8,Oceanside,65,Oceanside,8.9574,59.716,-117.3809643,33.19676897
9,Cannon,59,Carlsbad,7.88595,52.573,-117.3319172,33.13737794
10,San Luis Rey,68,Oceanside,17.27925,115.195,-117.3336504,33.21148424
11,Pendleton,67,Camp Pendleton,8.985,59.9,-117.3353226,33.30895309
12,Morro Hill,63,"Camp Pendleton, Oceanside",1.81125,12.075,-117.2992433,33.25257173
13,Encinitas,61,"Encinitas, Carlsbsd",8.7138,58.092,-117.2843995,33.05060611
14,La Jolla,11,La Jolla,8.9613,59.742,-117.2743952,32.84006348
15,Del Mar,60,"Del Mar, North City West",8.22645,54.843,-117.2544586,32.98043325
16,Cabrillo,1,"Fort Rosecrans, Pt Loma",6.99345,46.623,-117.2441042,32.707317
17,Pacific Beach,17,"Mission Bay, La Jolla",8.8464,58.976,-117.2394846,32.79905863
18,Torrey Pines,21,"Torrey Pines, Mira Mesa",17.3436,115.624,-117.2391743,32.89822235
19,Point Loma,18,Point Loma,9.08295,60.553,-117.2326748,32.74147762
20,Rose Canyon,19,"La Jolla, Torrey Pines",8.8518,59.012,-117.2363348,32.84465563
21,Avocado,74,Fallbrook,5.8737,39.158,-117.2359727,33.3846046
22,North City West,64,"North City West, Mira Mesa",8.59995,57.333,-117.2197095,32.95856529
23,Genessee,7,"Torrey Pines, Mira Mesa",16.14855,107.657,-117.2128358,32.87964104
24,Mesa Rim,13,Mira Mesa,15.8496,105.664,-117.1727274,32.90516542
25,Station B,22,San Diego - Center City,15.1623,101.082,-117.1687185,32.71422614
26,Urban,39,San Diego - Center City,12.7905,85.27,-117.1508653,32.71342332
27,Fenton,6,Mira Mesa,1.41,9.4,-117.1555278,32.89474087
28,Mission,14,"Mission Valley, Linda Vista, Allied Gardens",17.34045,115.603,-117.1366967,32.78413163
29,Miramar,12,"Mira Mesa, NAS - Miramar",13.2183,88.122,-117.1348069,32.8939345
30,Kearny,10,Mission Valley,12.21795,81.453,-117.1312231,32.83279048
31,Division,25,North Island - Strand,8.025,53.5,-117.11926,32.68153296
32,Montgomery,29,Chula Vista West,8.0193,53.462,-117.0988065,32.63164047
33,Imperial Beach,28,Imperial Beach,8.59635,57.309,-117.0964429,32.58329849
34,Bernardo,75,Rancho Bernardo,21.80325,145.355,-117.0954001,33.02151868
35,Elliott,4,"Mission Valley, Allied Gardens, Tierrasanta",8.53095,56.873,-117.0877398,32.81597779
36,Esco,80,"Escondido East, West, South",8.91165,59.411,-117.088294,33.11566436
37,Streamview,34,"City Heights, SDSU",6.31695,42.113,-117.0778729,32.74554347
38,Rancho Carmel,88,Rancho Bernardo,13.1154,87.436,-117.0763798,32.9934551
39,Ash,73,"Escondido East, West, South",12.7851,85.234,-117.0694677,33.136465
40,Otay,30,Otay Mesa,7.3044,48.696,-117.0568054,32.59522116
41,Paradise,31,"Paradise Hills, Encanto",8.8662,59.108,-117.0489914,32.70438717
42,Suunyside,35,"Bonita, National City",1.8252,12.168,-117.0295521,32.65800046
43,Pomerado,87,Poway,13.2588,88.392,-117.0318181,32.94127226
44,Poway,86,Poway,7.9956,53.304,-117.0304032,32.97870278
45,Murray,55,La Mesa,16.1007,107.338,-117.0223886,32.79095498
46,Carlton Hills,43,"Mission Gorge, Santee",6.4533,43.022,-117.0109303,32.85483952
47,Spring Valley,57,Spring Valley,8.86845,59.123,-117.0019486,32.73917188
48,Warren Canyon,93,Warren Canyon,2.01,13.4,-117.0014607,33.0153829
49,El Cajon,48,El Cajon,17.6952,117.968,-116.9715728,32.79531096
50,Border,23,"Otay Mesa, San Ysidro",6.78945,45.263,-116.943434,32.56605932
51,Granite,51,"Granite Hills, El Cajon",17.64195,117.613,-116.9197676,32.8041616
52,Loveland,54,Loveland,4.4691,29.794,-116.7914099,32.79728426
53,Warner Springs,94,Warner Springs,1.2375,8.25,-116.6751369,33.24713594
54,Santa Ysabel,91,Santa Ysabel,1.5162,10.108,-116.6702958,33.11043828
55,Descanso,47,Descanso,0.6561,4.374,-116.63301,32.86515961
56,Glencliff,50,"Japatul, Mt Laguna",0.66855,4.457,-116.4975889,32.79844644
57,Cameron,44,Potrero,0,4.997,-116.48731,32.65304995
58,Borrego,76,Borrego,0.0018,0.012,-116.3474574,33.27087641
59,Boulevard,42,Boulevard,0,-7.587,-116.2722692,32.66110864
60,Barrett,41,Barrett Lake,1.74705,11.647,-116.6994494,32.66723886
61,Eastgate,3,Mira Mesa,8.33175,55.545,-117.2000625,32.88490454
62,Escondido,79,"Escondido West, San Marcos East",13.05015,87.001,-117.1160308,33.12547274
63,Sweetwater,36,National City,8.805,58.7,-117.0906778,32.65800549
64,Chicarita,77,Rancho Bernardo,12.4149,82.766,-117.1081656,32.95840326
65,Rancho Santa Fe,69,Rancho Santa Fe,4.2306,28.204,-117.1977269,33.01420502
66,Crestwood,46,Boulevard,2.17365,14.491,-116.3526482,32.6992152
67,Olivenhain,84,Olivenhain,3.22605,21.507,-117.1391024,33.06705318
68,Valley Center,92,Valley Center,1.647,10.98,-117.0169974,33.23076764
69,Pala,85,Pala,4.07265,27.151,-117.1114674,33.35591254
70,San Ysidro,37,San Ysidro,8.7279,58.186,-117.0261881,32.56214404
71,Kyocera,8,Mission Valley,1.3725,9.15,-117.1392368,32.81978995
72,Jamacha,52,"Rancho San Diego, Jamul",13.0341,86.894,-116.9563256,32.74389664
73,Coronado,24,Coronado,8.73735,58.249,-117.1724184,32.69870745
74,Alpine,40,Alpine,8.45385,56.359,-116.7888032,32.82757355
75,Margarita,100,"Mission Viejo, Ortega",17.43765,116.251,-117.6277799,33.54945049
76,Creelman,78,Ramona,10.4076,69.384,-116.8520641,33.017879
77,Batiquitos,58,Carlsbad,12.6798,84.532,-117.2494249,33.10111319
78,Garfield,49,Fletcher Hills,4.4589,29.726,-116.9960151,32.79506686
79,Artesian,72,"Rancho Bernardo, Lake Hodges",8.7987,58.658,-117.1332911,33.02126488
80,Kettner,9,"San Diego - Center City, Mission Hills",8.8371,58.914,-117.1727636,32.73293312
81,Chollas West,45,Lemon Grove,13.31475,88.765,-117.0454928,32.74394243
82,Monserate,83,Fallbrook,8.8386,58.924,-117.2346929,33.32888616
83,Station F,26,"City Heights, North Park",13.3875,89.25,-117.1253183,32.75495697
84,San Marcos,90,San Marcos,16.99845,113.323,-117.1960651,33.12873243
85,Proctor valley,32,"Chula Vista, Otay Mesa",8.6823,57.882,-116.9857225,32.66524557
86,Old Town,16,"Bay Park, Linda Vista",12.46335,83.089,-117.1917544,32.76585246
87,Felicita,81,Escondido West & South,12.99375,86.625,-117.0731343,33.09316192
88,Shadowridge,70,Vista,12.6372,84.248,-117.2374544,33.14146788
89,Scripps,20,Mira Mesa,12.7761,85.174,-117.1117605,32.91108635
90,Sampson,33,"Logan Heights, San Diego City Center",13.4106,89.404,-117.1415404,32.69435267
91,Laguna Niguel,98,Laguna Niguel,17.7948,118.632,-117.7019712,33.49467975
92,Grant Hill,27,Logan Heights,8.8818,59.212,-117.1297289,32.71261114
93,Santee,56,Santee,13.1877,87.918,-116.9675217,32.85446975
94,Melrose,62,"Oceanside, Vista",17.2278,114.852,-117.2521342,33.20642264
95,Telegraph Canyon,38,Chula Vista East,13.2471,88.314,-117.0150146,32.63792266
96,Palomar Airport Rd,66,Carlsbad,13.3299,88.866,-117.2868932,33.12296445
97,Pico,101,"Ortega, San Clemente",8.6982,57.988,-117.5881684,33.45693356
98,Lilac,82,Lilac,7.56975,50.465,-117.0851559,33.25341203
99,Trabuco,103,"Laguna Hills, Mission Viejo",17.4372,116.248,-117.6724707,33.56305554
100,Trabuco,103,"Laguna Hills, Mission Viejo",17.4372,116.248,-117.6724707,33.56305554
101,Trabuco,103,"Laguna Hills, Mission Viejo",17.4372,116.248,-117.6724707,33.56305554
102,Trabuco,103,"Laguna Hills, Mission Viejo",17.4372,116.248,-117.6724707,33.56305554
103,Friar,5,"Mission Valley, Linda Vista",8.81055,58.737,-117.1558392,32.77919909
104,Mesa Heights,15,"Clairemont, NAS - Miramar",11.89845,79.323,-117.1563747,32.8296372
105,Clairmont,2,"Clairemont, Linda Vista",8.7615,58.41,-117.1832326,32.82608384
106,Los Coches,53,"Lakeside, San Vicente",12.17475,81.165,-116.8987449,32.85990162
107,Station B,22,San Diego - Center City,15.1623,101.082,-117.1687185,32.71422614
108,Station B,22,San Diego - Center City,15.1623,101.082,-117.1687185,32.71422614
109,Bernardo,75,Rancho Bernardo,21.80325,145.355,-117.0954001,33.02151868
110,Bernardo,75,Rancho Bernardo,21.80325,145.355,-117.0954001,33.02151868
111,Bernardo,75,Rancho Bernardo,21.80325,145.355,-117.0954001,33.02151868
112,Rincon,89, ,0,0,-116.957696,33.28577606
